symptoms,nyumc,goviral,hongkong,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.4447179584979213,-0.1392853195153243,0.04846030546818314,-0.4263407520607477,-2.444027307108068,-1.8191327894159433,-1.7923592889939057,-2.066238652562138,-2.0828939627514353,-2.0621081095616525,-2.0752114108148882,-2.0738199253701133,-2.0741803075118517,-2.0621579067936153,-2.0710256154670024
fever,0.4360102401065731,0.2032024206210709,0.8557269950541802,0.33218438088052676,2.320782092493414,1.9616839707676565,1.849007121642143,2.0622955602207007,2.0793024642123967,2.067357133526089,2.069613416020848,2.071202565579994,2.068448257610968,2.0671104679713665,2.069409468725639
sorethroat,-0.11341768442900246,0.07683163555125261,0.7193716681354041,0.22078923853577215,-0.15518780934066956,-0.10716375554331933,0.07736429665576006,-0.07844553122718761,-0.08734330307559882,-0.07937130532520598,-0.08138532949830979,-0.08140617469022626,-0.08121134338609304,-0.0783473054073427,-0.0811167198527831
cough,0.09367602836592037,0.08870051460242567,0.657770122295469,0.2993822292566208,1.6692795755346506,1.4684696223152502,1.3342564012384253,1.5180558079839055,1.5268509096921319,1.5154438108292563,1.5209602732496674,1.5194867881467322,1.5202152858244573,1.5143353158949822,1.5193800190037958
muscle,-0.13500332588231115,0.046608650164577145,0.3984310224416172,0.06462981192522148,-0.29508697746362356,-0.24133462494266208,-0.10969716751384714,-0.20224309030157112,-0.19415367620948343,-0.19722377667967916,-0.19830599034946236,-0.19642030318469955,-0.20061831586492895,-0.19605229841607807,-0.1978255344789465
headache,-0.5243766185415448,-0.08200089477737436,0.4051383216624038,0.07337813456457737,-0.387875072584174,-0.28656016039842336,-0.1235361288287391,-0.26956344816168265,-0.2684806303063038,-0.26470905152316326,-0.2680106823092698,-0.2662508413429358,-0.2691438510611369,-0.2634380190189898,-0.2670850423176295
fatigue,-0.48234835534741416,0.27037322601811087,0.3914858251233795,0.06081228499221458,-0.2536375538917315,-0.054051161813377324,-0.003655782834844523,-0.11078190165721014,-0.11195042711844194,-0.10843020840060213,-0.11105719366781427,-0.11036031631336468,-0.11094378194503796,-0.10733384591465434,-0.1101292644693168
vomit,-0.1361645121857731,0.09751558302574959,0.4410095732366862,0.09499845857164273,-0.7277085196831568,-0.6444478215017571,-0.4396715769971985,-0.5752564850905953,-0.5571926644342929,-0.5635830113440223,-0.5648765745834999,-0.5636733428203795,-0.5621834701790596,-0.5603318322662654,-0.563809612796655
nausea,-0.11310866190135313,-0.24343164898685055,0.457428998915112,0.0993900775209429,-0.16162010756277187,-0.11006794684637411,0.02706743404843295,-0.09040284653405528,-0.09247413285552697,-0.08626500414519254,-0.08914873258273759,-0.08925516776487141,-0.08848941052207587,-0.08385732962667625,-0.08857409461256485
diarrhea,-0.48549802443763124,0.035001443102605556,0.4743166598824527,0.10397090963999621,-2.16153167087161,-2.079161368967909,-1.7051432835660547,-2.037952551101467,-2.0742995606271917,-2.052439976306432,-2.0562565020905565,-2.0317070382227773,-2.042000407704938,-2.0487806472074737,-2.0492180440686685
chills,-0.07477705316685951,0.16201902737334942,0.5124329963352517,0.1201553952053015,0.5805584640037217,0.6280693608109769,0.6181214557201169,0.5971551097171561,0.588839807544485,0.5924424808026145,0.5922628084150776,0.5959198752561041,0.5940266708523727,0.5924610401884892,0.5932749429453
sneeze,-0.07892806967698143,0.11333853391929628,0.510197910825639,0.10641143558738894,-0.35334939998436665,-0.32136198775561653,-0.22192154580490595,-0.31387551237037514,-0.324757799434427,-0.319339607216859,-0.31929846713662413,-0.3129506664346405,-0.31530387296177254,-0.31789926586026207,-0.31766730870911924
shortness of breath,-0.08332169962868868,-0.14626621800172146,0.5287462001305253,0.11129260290641282,-0.027687668701596283,-0.05596575884531829,0.12031031462585334,-0.019142574733752804,-0.02831476714127734,-0.020348712913838274,-0.020687398013646986,-0.01174951528167792,-0.017181471578059437,-0.018072204134892328,-0.019371684518687177
phlegm,-0.08797319380190677,0.05848691425355961,0.6786216915232521,0.29513008094173054,1.119356344900165,1.1605919564337357,1.1332948369645939,1.145552295838977,1.1469508998437974,1.1452784962984193,1.1455031604854526,1.1441141856917423,1.1449419637245002,1.1451754074868175,1.1453599775142964
blockednose,-0.09290005235878535,0.1354273305333856,0.47639571104741557,0.10237240257141345,0.024773905582437954,0.04192746216666782,0.08503432533903399,0.046814123013678,0.04568638949904675,0.046961397484334255,0.04610901580131277,0.04865683203571604,0.04780638539927107,0.04802596327199571,0.04714618423362862
earache,-0.09812007259382052,0.06520919163952638,0.5388225388901907,0.1516159167071898,-0.0170942175984381,0.010591017664805106,0.09662562755071533,0.023732517941394665,0.02267570474067803,0.024807635521976547,0.02295171169386352,0.02776040675782546,0.02595632737810047,0.026869307568928327,0.024955975743725666
leg pain,-0.10365278697188804,-0.1264268887615645,0.5582276526035589,0.15833202392027576,-0.10577393311051117,-0.09883120506897475,0.05289891012632302,-0.09799855646408742,-0.09846057684223308,-0.1004617067551251,-0.1016022801122193,-0.096369547426713,-0.09387768528283139,-0.0957481683252144,-0.09776782985423405
runnynose,-0.10951928930603684,0.2743716672866975,0.6774427914485401,0.3420097771897229,1.716684447094767,1.7505982438035097,1.5580345054314513,1.6949345315084523,1.6946772712441012,1.6950479108359326,1.6947040263742328,1.6935750285685929,1.6940945264761818,1.6944761471949168,1.6945164462678097
