symptoms,goviral,fluwatch,hongkong,hutterite,individually_reported,health_worker,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.13836988754796176,-0.18779694651211665,0.03084434781851897,-0.4261607645831601,-0.8879675300608337,-1.5793614245514769,-1.4882396556611268,-1.5317735667764998,-1.509567484646833,-1.5415971748563055,-1.4466013766508894,-1.503382606308987
fever,0.20413701801759632,0.13173084930407217,0.8586402458174143,0.33328660556283735,0.9230826336541658,1.6745407618216477,1.510731867086563,1.5409669426601544,1.5343791343896975,1.5271433438230602,1.4874736280137304,1.5232301801270167
sorethroat,0.07700954006697436,0.061443066490736165,0.7204180080446694,0.2200582715222464,-0.00309255037422506,0.17672379061010646,0.034975537275574106,0.028841678458968678,0.02804958650837408,0.03471845117182393,0.03537637954863748,0.031340005337992194
cough,0.08719459156601495,0.11419661463209146,0.6635641896265372,0.3006469001511376,0.7113863411273206,1.2060204977526934,1.115377614522706,1.150872574728546,1.1275958831423858,1.1424086265960902,1.086174788494782,1.1257307082404449
muscle,0.04650652563290873,0.0837066924601056,0.39663326229419793,0.06507404805312177,-0.12319822607236187,-0.12278980026067338,-0.1134987890554151,-0.11270046368249265,-0.11394165754741692,-0.11263822167240567,-0.11463338290735714,-0.11342209941936757
headache,-0.08198286064075139,-0.008076186709830596,0.40350901966202135,0.0720432606346263,-0.158218875640713,-0.06333306350008057,-0.1376375123496133,-0.1414340601127036,-0.14225548682320963,-0.13881026254394335,-0.1393387145921059,-0.13963799026499496
fatigue,0.27116066514565607,0.29817055176124496,0.39263225546740316,0.06105633576396319,0.18355659680807979,0.09643765345901964,0.07693523682945147,0.06888311148063864,0.07533606486787142,0.07513699381207017,0.09027677608383233,0.07638844023293737
vomit,0.0982841349595972,0.176399236361594,0.4392341436693877,0.09538317986793245,-0.2814542240909988,-0.44192043108425944,-0.35453640678876286,-0.35224669956529286,-0.3541101874480228,-0.3590545877787925,-0.3511670794888482,-0.35420456540291245
nausea,-0.24332697770821732,-0.1452296506780272,0.4558192188980383,0.0998010782728998,-0.1622403046218528,0.08403057943794615,-0.047705987799181934,-0.04639846934218972,-0.051727543728417036,-0.04373408727673539,-0.062312642095519344,-0.049979191262862085
diarrhea,0.03412405817761632,0.10072101095205074,0.4729125649577762,0.1044088147702755,-0.7024700874010746,-1.07323374742461,-1.2281118884559876,-1.2426736021324356,-1.1275835021788811,-1.1743674009702132,-1.124622177906387,-1.1830632057334851
chills,0.16205019188214886,0.21893060450361873,0.5113974617311706,0.12011512798807902,0.38539530631589625,0.5686065336281491,0.4849097313593471,0.48963380449930677,0.49933224854584374,0.4963763565640681,0.4732345313920894,0.4885478355848212
sneeze,0.11367771934881686,0.15495354007346485,0.5091517159274791,0.10687193191849222,-0.01657548133862649,-0.03452227843051374,-0.11279870753718041,-0.1095091757700426,-0.0778067928810039,-0.08747337668164268,-0.0897738472573395,-0.09744562133663676
shortness of breath,-0.14521484751431335,-0.10091052546048361,0.5277943457059714,0.11178106180718578,-0.042710921377382305,0.2357868604617526,0.04016948529105039,0.05097566396842595,0.09267506258386447,0.07819018284430967,0.03950959672771037,0.05877276702449613
phlegm,0.05871300829882685,0.09198057828489016,0.6796570848043972,0.29555383153834175,0.4751937083758661,0.9588583564544708,0.8267008935909324,0.8327178213535511,0.8305245269195225,0.8277634295537104,0.7708395202609382,0.8166736163814571
blockednose,0.13580241101565999,0.1526432930017334,0.4747791055053728,0.10174306845435976,0.1126341862877196,0.18309307754968734,0.12516281260369688,0.13226772402062476,0.14156972253150035,0.15019930352188415,0.12864900142130886,0.135178043293513
earache,0.06545897415791883,0.08936677166892584,0.5387896491147388,0.1521002726876087,0.053589669564645455,0.17557735325492604,0.09452109514781004,0.10429005588057604,0.11519571843103395,0.13220272049005674,0.09917229439331574,0.10852422992624239
leg pain,-0.12526458837192433,-0.11779930459181995,0.5579972458910549,0.158829608253094,-0.02538083325075835,0.2742902984897783,0.02575846495519788,0.0587790041211287,0.1406312531937366,0.16221144305403037,0.06367993574624298,0.09265087962716267
runnynose,0.27440652484667305,0.29290275143490746,0.6730978871713049,0.3425245650669332,0.8734224482765349,1.3020148427939984,1.2147323135751673,1.2258621342215112,1.229825271625979,1.2318106229513264,1.204241078092616,1.2225216340696419
