symptoms,goviral,fluwatch,hongkong,hutterite,individually_reported,health_worker,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,0.19105601313363696,0.044234246970562774,2.5757302117631307,-0.1758038578744332,-0.9849117604669653,-1.3942057011091142,-1.4351106422269697,-1.4722301063758692,-1.4615269555624462,-1.465808099913843,-1.4096245501914422,-1.4465075230338922
fever,0.3905663527910661,0.31175042383467394,1.8742933929892187,0.6406523688695666,1.3152949565875558,2.0943642011058548,1.8280344750003086,1.8420546299412455,1.8408480513615064,1.8381202294850816,1.7999650283402189,1.828610853752357
sorethroat,0.3122628237756148,0.2640327576349174,1.8019089745753953,0.5427274460771525,0.11360018994392945,0.33454062898090087,0.14970166002877622,0.13480599485326833,0.13374674823417954,0.14136556138981748,0.14567666369599852,0.14089070126782524
cough,0.28399423843332006,0.3007558695909862,1.5151701628337766,0.4696331744069262,1.0190359152064434,1.5061668272913349,1.3546858596128695,1.3785952192552853,1.3604397132407877,1.3693071690494154,1.3399221535555457,1.3607291879546837
muscle,0.26609292415271096,0.29543148009425024,1.3876886292173003,0.23647149153297692,-0.04499550261329765,-0.03272989995235523,-0.046167735417484757,-0.04808299063909155,-0.04811062877014871,-0.046940409518837906,-0.046310593664212085,-0.04725002027852694
headache,0.20989099105553918,0.24460489119465612,1.369401336485054,0.2566191533328144,-0.019190504271123954,0.038473174592878405,-0.04041591849479209,-0.05191834130210676,-0.050558364273533996,-0.04715329874317564,-0.040920064484149976,-0.04523163873622113
fatigue,0.39269994870380537,0.4976673294650961,1.3950315358096688,0.2469478000987218,0.25714172105470334,0.2421122865556777,0.17269675080645452,0.1567433629000793,0.1605808457429908,0.16652945677213893,0.178497127236817,0.16679164993194384
vomit,0.3426175575618198,0.4052321375273241,1.4526271378648328,0.28928120907156335,-0.2666183043281248,-0.4117114687335126,-0.33705959642167427,-0.33690918285851007,-0.33558058149751513,-0.34004159086741637,-0.3314609906054127,-0.33614575937575225
nausea,0.13716644081631787,0.1729619107999644,1.4784225714230639,0.30105570839259593,0.07299344250297157,0.21674628840923904,0.09807031379221097,0.08882844889830022,0.08210967031242555,0.09060908365458803,0.08184173124769245,0.08900688539020606
diarrhea,0.31199213460481884,0.3675296546260274,1.5189072467011226,0.3132240449614568,-0.769789426171342,-1.171372756954888,-1.2782425483121345,-1.2890314266170626,-1.1802113379378296,-1.2185800981777088,-1.225181032388015,-1.2426801785804509
chills,0.39060489219423544,0.4655083652470225,1.5738734001030312,0.33294852381073264,0.5893249436267148,0.7883367613281327,0.6555361230744062,0.659239850729614,0.6783598890690964,0.6726846807169721,0.6474684276934815,0.662379117221569
sneeze,0.3732134864582796,0.40317736936564896,1.6015873471916422,0.32653238779800814,0.08998726429569019,0.08053961804506136,-0.020460423580815068,-0.011303416730470195,0.025834840270525627,0.01611175415390309,-0.007703450704172325,-0.001607186955093931
shortness of breath,0.2158571448987998,0.22843849052154275,1.638584108896273,0.339678730866694,0.19361452805323287,0.40689005845264575,0.20503890219693,0.2225295570822393,0.26080997265094913,0.2483821559111002,0.20270816047708812,0.2246696685309429
phlegm,0.3666313300137406,0.37706893208728576,1.6046953674852702,0.5380397631777695,0.777842374576666,1.2358094037691445,1.0555934954716748,1.0737377392124605,1.0685487473154456,1.0488291059633232,1.0212605184381236,1.0533453605042409
blockednose,0.4265746910054556,0.4162053236981381,1.513235510464962,0.3444432093101151,0.2778034483631966,0.3564854442798904,0.2627102184908624,0.2783406849920999,0.2940522342816848,0.2934812428412883,0.2733896043007653,0.2788450269569716
earache,0.3915207419565087,0.381966,1.58067343075189,0.4012508249172677,0.23422996835206034,0.3291764394118075,0.23019677971406505,0.24622134254424793,0.2622111984074237,0.2613019900927178,0.23644215100013546,0.24565052655123248
leg pain,0.28835539019403633,0.2546743969149383,1.6180339748439998,0.4167579925163754,0.2438541540950775,0.4549917034308909,0.21280603705051185,0.260649090973687,0.3239203534262506,0.30657839917319635,0.24178906524024818,0.26955995216062767
runnynose,0.4313988517603564,0.43253172439536836,1.6621909181322958,0.5360980739017569,1.1284899326025013,1.6661305787399459,1.4842226398686353,1.4992292871354054,1.4963504129832033,1.4964876791108472,1.4652577041547679,1.4882229388644481
