symptoms,goviral,fluwatch,hongkong,hutterite,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-1.3861423765169085,-1.3373198882034423,-0.8066196325626391,-1.4710204766222297,-1.34883169351126,-1.368951098404657,-1.357348183989054,-1.3662415907865952,-1.3372292926317004,-1.3545629186775918
fever,1.02640331891142,0.9609694303075271,2.0996571406038846,1.0833687034734478,1.3676215126803144,1.3524855011442147,1.355567233321092,1.3399314296525535,1.3550223568306552,1.3505401720384884
sorethroat,0.20628014548318946,0.18491712237008462,1.0179302056304262,0.24430576884620248,0.35984568618915685,0.32686730073265197,0.3420844058285194,0.32598915151712493,0.3628240775887176,0.3430785265206454
cough,0.8659468979482707,0.8966429949474886,1.527919959916733,0.7963255411411185,1.0730176653565735,1.0685778031204713,1.0668324182891358,1.0521116224529097,1.049263580040991,1.0630895746114426
muscle,0.03120614075625383,0.07188434288818235,0.5715748200756772,-0.020536981641486096,0.14464783950735804,0.12240063256052414,0.13202686661929225,0.11783638255959382,0.1346803883943719,0.1308453862009717
headache,0.09588221602673633,0.14509865693262292,0.5964218522950583,0.04821308043104677,0.18124988859054314,0.1589300009905456,0.16822299992835685,0.15867055183605516,0.1784139882319521,0.16919574691085654
fatigue,0.21598700122420872,0.29144041075341365,0.7939117105360131,0.2031454947281584,0.3316478099236211,0.309961487479929,0.31750113934979907,0.3106336180853577,0.33114443549982786,0.32047605948261204
vomit,-0.2683546380809825,-0.23528897554271191,0.1781693780327185,-0.3228218453230604,-0.1737318870001472,-0.18796463949263448,-0.18553302954582773,-0.19116360629513274,-0.17945909782069513,-0.18345217010292525
nausea,0.2436094143935604,0.29852634288493907,0.7371121218106507,0.19666854663732547,0.3298979605025714,0.309645105320673,0.31675811945395926,0.306336147328762,0.3010126359110057,0.3128383716108508
diarrhea,-0.8778393410909949,-0.8860813500546275,-0.6642852607285589,-0.9747591538866451,-0.9812065749179619,-0.9861361211461819,-0.9354445838495788,-0.953926298424099,-0.9640102802783526,-0.964045949097041
chills,0.5161733921818458,0.5880885230033501,1.1723111813451679,0.47857629509410893,0.6746837733159401,0.659127327677204,0.6280241133712192,0.6381847164099632,0.6403652883992901,0.6481329660229233
sneeze,0.13428233186309804,0.14991839743423097,0.6725299172941284,0.08237975271877124,0.20110476899016327,0.20026701596347207,0.18804858440275274,0.1977242827915231,0.1877759939464438,0.19526387836343634
shortness of breath,0.3294405588140519,0.3485174465486733,0.915965671460195,0.2687905454584335,0.40999570872861324,0.41149949094836913,0.39462931201721085,0.39797266846479223,0.3926284415147549,0.4016313450836014
phlegm,0.7523567448106567,0.763448732298419,1.2135297486796863,0.6787589325658939,0.8759438029454811,0.8449800917280221,0.8298898939671894,0.8122315913333626,0.8190163648949309,0.8344566133678506
blockednose,0.32692697770066753,0.3199809694225686,0.7249663118467884,0.27609252798099493,0.38147980705565165,0.371158811588832,0.3675471641966343,0.34532524724237,0.3464803748167786,0.36171516170121376
earache,0.3200253737400374,0.31316627565464156,0.7246658371897894,0.2669050096321431,0.3741411588498882,0.3648119292437973,0.3612119019999109,0.33555271101204515,0.34305788491730715,0.3550587554343298
leg pain,0.40699026221182666,0.39100205592457526,0.8255627580884096,0.3474867279160883,0.4262000550983138,0.4261035087194922,0.4187754926328615,0.4059974375428064,0.41239671570838726,0.41791463106963767
runnynose,0.8472396881970192,0.8648671140837919,1.2999331029847276,0.8308039857284414,0.9044993600848708,0.8962458807386131,0.8998985116606116,0.8961682192007054,0.9009986777148838,0.9001128805694828
