symptoms,goviral,fluwatch,hongkong,hutterite,female,male,population
intercept,-0.8978303047074003,-0.6220796340549196,1.5878237097008476,-0.6523510372538325,-0.6478612583057375,-0.6165878455386795,-0.6322050266597814
fever,0.5401275990035809,0.4435673802825382,1.6997800322931682,0.5680526955433138,0.7678824400139476,0.7553841189433825,0.7616547779550656
sorethroat,0.5171245481184586,0.47117112061943867,1.6687678787956854,0.5665244089580936,0.7729215529877049,0.7597818288924105,0.766373609522822
cough,0.6967590022550307,0.6830768883286347,1.4732094511985836,0.56352935496527,0.9175203831394962,0.8901497581256035,0.9038742182168793
muscle,0.07098109226919772,0.1662076719982548,0.9723500354728596,0.05171274205328119,0.16748691973978702,0.17212974682032778,0.16977155669255284
headache,0.25897056638512345,0.3417144913461182,1.1013959845657186,0.22171246100929565,0.36230945169019085,0.3631942624219495,0.3627516684922603
fatigue,0.4099530986613264,0.5014387989524174,1.2658520707358525,0.3835722371685982,0.5653704718223087,0.5559501197394489,0.5606726550393554
vomit,-0.054136958505330846,0.06487619830401936,0.8834351676898109,-0.047382059259154126,0.026900604797758687,0.03734104081122647,0.03210822043405126
nausea,0.18066089776752195,0.2802349810191525,1.0965532404073286,0.15742496238733086,0.3114753269627205,0.3043582140533352,0.3079267199762674
diarrhea,0.20457122164772243,0.29943888472106756,1.1416759614207574,0.1772817659719273,0.2943901798753315,0.3007269000035271,0.2975040244956477
chills,0.4628505107783518,0.5494780802430383,1.378406394006367,0.40848287836315783,0.6554170877393186,0.6265771332003335,0.6410298851487586
sneeze,0.3400393517728298,0.40024864100899593,1.2970029918658017,0.2986160527107633,0.4890588053925067,0.47416271268004756,0.4816290722202931
shortness of breath,-0.10697906168805127,-0.04802063922367748,0.9430022467620545,-0.15048600768394083,-0.0733560578257948,-0.06251595424514544,-0.06792889094876298
phlegm,0.8464853428819528,0.860296296931648,1.5023505526511072,0.7485185571910863,0.982493365364733,0.9478340950892898,0.9651254768027728
blockednose,0.3876332770540809,0.39962270124001464,1.1713949143213382,0.332428931251481,0.4636187165888316,0.44918808626457574,0.45640267384700683
earache,0.3983529708499232,0.4109500724912089,1.2012063371054746,0.3418676542717715,0.4803617479859024,0.46414609510689553,0.4722428149373152
leg pain,0.39787938160144,0.4019842488153909,1.2136556685738398,0.33104144906205174,0.47628194891230713,0.4590626612178555,0.467696458105924
runnynose,0.7168475885781458,0.7356568953278397,1.4489551448169766,0.6771676172143558,0.7727400456355162,0.7687380599250515,0.770699852374604
