symptoms,goviral,fluwatch,hongkong,hutterite,female,male,population
intercept,-0.8978303047077083,-0.6220796340543882,1.5878237097201415,-0.6523510372538325,-0.6478612583033092,-0.6165878455365799,-0.632205026656985
fever,0.540127599088858,0.4435673802789076,1.6997800322954202,0.5680526955433888,0.7678824400337858,0.7553841189636384,0.7616547779750599
sorethroat,0.5171245481078206,0.47117112062081934,1.6687678787931923,0.5665244089505452,0.772921552982567,0.7597818289028022,0.7663736095254561
cough,0.6967590022612988,0.6830768883356078,1.4732094511987341,0.5635293549647116,0.9175203831418166,0.8901497581286995,0.9038742182199517
muscle,0.07098109227261168,0.16620767199804065,0.9723500354804997,0.05171274206671428,0.16748691974502883,0.17212974682532112,0.16977155669762267
headache,0.2589705663885787,0.3417144913409673,1.1013959845708383,0.22171246100932052,0.3623094516896512,0.36319426242010266,0.36275166849117774
fatigue,0.40995309866695456,0.5014387989524332,1.265852070742599,0.3835722371633426,0.5653704717599064,0.5559501195146903,0.5606726547866113
vomit,-0.05413695850171285,0.06487619830405743,0.88343516770171,-0.047382059259325766,0.026900604934200212,0.037341040816360804,0.032108220360311135
nausea,0.18066089778808023,0.28023498102503247,1.096553240412257,0.15742496238660525,0.31147532697036684,0.304358214059409,0.30792671998329957
diarrhea,0.20457122165348435,0.2994388847160165,1.141675961426217,0.1772817659688369,0.29439017987835353,0.3007269000032744,0.2975040244976881
chills,0.462850510784444,0.5494780802670673,1.3784063940028184,0.4084828783626735,0.6554170877458231,0.6265771332060165,0.6410298851548941
sneeze,0.3400393517747197,0.400248641011238,1.2970029918718124,0.2986160527103279,0.48905880539517776,0.4741627126802967,0.48162907219167855
shortness of breath,-0.10697906168669014,-0.048020639257919315,0.9430022467487916,-0.15048600768492665,-0.07335605783556831,-0.0625159542586724,-0.06792889096050558
phlegm,0.8464853428884839,0.8602962969299134,1.5023505526532814,0.7485185571892299,0.9824933653648089,0.9478340950882871,0.965125476801266
blockednose,0.38763327705820516,0.3996227012433886,1.1713949143219775,0.3324289312527826,0.4636187165910418,0.4491880862580371,0.4564026738451429
earache,0.39835297083691784,0.4109500724803748,1.2012063371103943,0.34186765426847177,0.4803617479795253,0.46414609509768073,0.4722428149296234
leg pain,0.3978793815842996,0.40198424879500994,1.2136556685786757,0.33104144906136146,0.476281948904251,0.45906266120520967,0.46769645809536164
runnynose,0.7168475885847414,0.735656895330532,1.4489551448143387,0.6771676172132671,0.7727400456374813,0.7687380599231712,0.7706998523745807
