symptoms,nyumc,goviral,hongkong,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
fever,0.032758902093556086,0.2521584180161133,0.0022280943226360983,0.09525037723755775,0.03717813074396398,-0.042041998921354004,0.008706267425961249,0.48556697284319184,-0.12045595843821993,-0.04498762675952819,0.04752802589234506,0.05520178708204623,-0.043611121036083916,-0.032938323546741005,-0.0003571711567542518
sorethroat,-0.40769888698530066,0.18522591653686848,0.019534326673657648,-0.026602605926925108,-0.2804837270436892,-0.40667940429796134,-0.12203913247662529,-0.19336101803480088,-0.21963860278963576,-0.23368922322511,-0.12641790957787188,-0.12062481233530267,-0.21056921678680762,-0.1862446615324146,-0.01819842041278536
cough,0.14000998571012346,0.2220133796659164,0.18482794372609002,0.3539274950814443,0.32343227282577114,0.3111283770582558,0.33807321982546057,0.34789492443932424,0.33042239277870455,0.3151762458645011,0.39922509782625737,0.38228730476929895,0.35812971687586037,0.2993613561405265,0.43563549893338727
muscle,0.022882992199007968,0.4646169563865683,0.23756633259002624,-0.16778960727524256,0.06820398079410314,0.11169229433802369,0.05539135762845199,-0.014784347164807206,0.1332570404414367,-0.17878028008943858,0.1420278773251582,0.126277078201541,0.10565841164564,-0.007139867866417843,0.14377370745781926
headache,-0.3477516825846636,0.02384981115463168,0.32297059225233016,0.2837084542715478,-0.0013069915911951176,0.1363280926043985,0.22470817958860545,-0.01783769657712253,0.10613181751575862,0.12074860371764615,0.22228557356275913,0.13974344826523988,0.44016338415786094,0.17025964970189772,0.20619065789549573
fatigue,0.03822651484818976,0.30777195023520865,0.030123241436175868,-0.19045506235878212,0.19153182888262088,0.2282434410651557,-0.018856880548121402,0.25168625650330245,0.29367011715991265,0.13664156520901288,0.3135153787855821,0.23653002316455007,0.33610165171083484,0.1789826231353246,0.2848547068582654
vomit,0.03220499830416704,0.15694229609609067,0.007946626931390834,0.005468643345654372,0.045458701654274625,0.00953140187219699,0.01762076009098929,-0.07446772127859624,0.11446038952929855,0.04122051167788798,-0.09925392512870701,0.07147459102096851,-0.029776087416397486,-0.004870623994218898,0.07441402720452148
nausea,0.06653579372273655,-0.25244304419131236,-0.008719284986187303,-0.00071975458089843,-0.1226502537805183,-0.23218225591269903,0.019955249520158418,-0.3126157678788142,-0.06206748465426343,-0.3582507970944373,-0.4451624736749986,0.2665959903821792,-0.05382126707153874,-0.12972872879274228,-0.13147703689437595
diarrhea,0.13802445379072548,-0.2878070241401779,-0.010087836915700282,-0.006891564343858982,0.016295541015304484,-0.0964781364274391,0.035379110291113486,-0.0080678052681065,-0.05155459702070847,-0.05257902230909395,0.023122574918382835,-0.03822412722023935,-0.03427249999700421,0.04265793956383229,-0.15919664796645078
chills,0.027531503312369546,0.2569569136724459,-0.013183556286372147,0.35167686592671243,-0.028530562327347353,0.23001145442444343,0.2990352375998854,0.1429538047557236,0.22774458511911677,0.09416525968637462,0.2545893157716811,0.1877906744576211,0.11988342876924968,0.16251016771494542,0.09464509064479404
sneeze,0.013801359059694963,0.01716765837709021,-0.013870454228911519,-0.009782807777128831,0.011429963066187453,0.1845174756412581,-0.02659576833709963,0.24861861230345572,0.08546884433876961,0.1239487051782639,0.6193220441132401,0.12789354756571886,0.06795278045483513,0.1197145207427033,0.22832321790369503
shortness of breath,0.04295540710481968,-0.02935205481932491,-0.0134711488848069,0.005309780294593855,-0.00304968087960392,-0.07725477242541542,-0.018769225254533048,-0.23718059050730256,-0.09351296329257872,0.006984337641913949,0.015204258555746926,0.018840838062452632,-0.125225594848277,-0.0457415836348051,-0.023916323214263027
phlegm,0.0328137581149171,0.037774714463994816,0.046364211958349,0.003386796801502759,-0.0005010303819253518,-0.012289956443867246,0.08003314939344852,0.051123542917855994,0.07536926872439462,0.059685378217371104,0.09473102228350957,0.1373446237282845,0.08744339300651016,0.07526949095135121,0.029670429000804216
blockednose,0.04390790199464248,-0.012801873379587665,0.007406408764424315,0.12627016777098765,0.0068889124167448995,0.18946121699587903,0.15038532890287426,0.19603753844908212,0.16515611581227368,0.09616730795656414,0.26152699617184627,0.1385979042720522,0.10950509517681689,0.24745226252541075,0.22827509252039846
earache,0.011322671695489187,-0.00034542458692509684,-0.004189261466344504,0.017468970771153586,-0.09167283456369024,0.00020419529315010175,0.0008634959528090783,-0.013483107404281366,0.011779933586173658,0.008770180347879498,-0.005632945371897341,0.014194140095806058,0.008115723292035224,0.02439970056490179,-0.004534441788299348
leg pain,0.03166957125478262,0.05920259962497362,0.0062143984738975595,0.0035997872444962628,0.044548398908597464,0.02327499278366848,0.0063265741032024515,-0.019030801642183792,-0.03320201870129431,0.24422561971383328,0.05731215412024973,-0.03719447948859847,0.05513392792592481,-0.022202606492530835,0.0056089746030311555
runnynose,0.010884206617902015,-0.055856461198955015,-0.21020316977765263,0.010361374042161978,-0.011665407972974173,-0.002812268274179002,-0.023887496712396365,-0.04370196825737446,0.030275877449160604,0.009465265399394865,-0.017148685002381626,-0.04080960701423227,0.01799671174127135,-0.031906829646272394,-0.012082722462550877
