symptoms,goviral,fluwatch,hongkong,hutterite,individually_reported,health_worker,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,male,female,population
intercept,0.19105601313363696,0.044234246970016544,2.5757302117631307,-0.1758038578744332,-1.499060792962978,-2.0021328954999613,-1.8548425376313076,-1.896856012136128,-1.8937855286433662,-1.8881331602404225,-1.861952178197506,-1.8443527926542191,-1.8520994311661163,-1.8699897506585512
fever,0.39056635279109353,0.3117504238345494,1.874293392989197,0.6406523688704358,1.3410149252649857,1.843436740138191,1.7164615030680772,1.7396308096850004,1.73029837228564,1.7300116562160264,1.7045591435126748,1.7009432877213273,1.7001131629492114,1.7170852969218056
sorethroat,0.3122628237729618,0.2640327576349185,1.8019089745723382,0.5427274460772313,0.267433411748159,0.5050866423701005,0.28934233075123533,0.2627921401705879,0.25488341553570637,0.2611366473554051,0.2755899108612623,0.31530419618575256,0.30155462161087354,0.28034289018146585
cough,0.2839942384336115,0.30075586959095163,1.5151701628328764,0.46963317440741736,1.3197025175559478,1.718358978252161,1.5542148361297028,1.5617726424101364,1.5543280009173701,1.5576504289930986,1.5434997810603743,1.5537627089035884,1.5493716112723028,1.5533309090508036
muscle,0.2660929241509058,0.29543148009377773,1.3876886292169452,0.23647149153314978,-0.21576415383639047,-0.24144528218724465,-0.20217550521623573,-0.19508613949747192,-0.1922511143709164,-0.19520674224077206,-0.19905427583513424,-0.2087071359379924,-0.20418165812101374,-0.19943830114483557
headache,0.20989099105527545,0.24460489119466222,1.3694013364845026,0.25661915333287166,-0.04768615133654336,-0.0008495450701356509,-0.0641311445776791,-0.07432247179120582,-0.0774581277824204,-0.07509351946813869,-0.07006105544246799,-0.05404348649483843,-0.05948946176220532,-0.06818964161717056
fatigue,0.39269994870366287,0.4976673294650961,1.3950315358093988,0.2469478000957614,0.3194530934172386,0.35125517994980904,0.2514752666048299,0.23117672086502605,0.2249769859968713,0.23503501666783166,0.24537391046424317,0.2731312053485385,0.261501201228979,0.24767155613820002
vomit,0.34261755756149026,0.4052321375270462,1.452627137864501,0.2892812090715758,-0.567124684774609,-0.7239647902194065,-0.5867264475696141,-0.5737658441477186,-0.5665346922161167,-0.5645539897141609,-0.5889753402762028,-0.6077142581228612,-0.5940115146264723,-0.5822791415601271
nausea,0.13716644081606147,0.17296191081095838,1.4784225714228025,0.3010557083931354,-0.04150680261511719,0.023265178405654653,-0.02628103312177038,-0.029542990024835625,-0.036205017547009444,-0.03437365251338248,-0.04141251132885415,-0.018737492257799776,-0.026851255929484785,-0.03026218284006979
diarrhea,0.3119921346045522,0.3675296546267823,1.5189072467007871,0.3132240449614568,-0.8171907585814171,-0.9982775180618062,-1.1939178980400929,-1.1778845152783572,-1.123450339318408,-1.1464007958794689,-1.2141277365712984,-1.1333828725763744,-1.1816561020709986,-1.1697770182629208
chills,0.39060489219185013,0.4655083652474937,1.5738734001025525,0.3329485238099319,0.6377508345448248,0.786033475011832,0.6754881988063074,0.6819836031956095,0.6824383475427287,0.6817505436023276,0.6653866181492132,0.6886675083975624,0.6778246934986054,0.6779886134317978
sneeze,0.3732134864582065,0.40317736936611337,1.6015873471914681,0.32653238779796984,0.06081916177497762,0.07544385601450058,-0.024244046435677735,-0.0046492945640908,0.004032086213646813,0.0013384453466295243,-0.03254070612545732,-0.001139644174670884,-0.019401047514249675,-0.011184222745750982
shortness of breath,0.2158571448983495,0.22843849052253345,1.638584108896986,0.3396787308671288,-0.20122647965365048,-0.21825038466461233,-0.20901624347293438,-0.2111335804779661,-0.21077678636727493,-0.21113994140790548,-0.20813304957499706,-0.21061899725665145,-0.21022787106818352,-0.21010433405614484
phlegm,0.36663133001279014,0.3770689320885264,1.6046953674840543,0.5380397631791372,1.2213549863483246,1.6134878144318097,1.3838709403397838,1.4136521514114615,1.4044870916127246,1.3871627812231724,1.3658153164440117,1.4327358564904433,1.3986544102859446,1.3969262587996325
blockednose,0.4265746910050917,0.41620532369859914,1.5132355104643742,0.34444320931012484,0.20373113378687607,0.244500461790509,0.1895149718632988,0.20290263592384117,0.20340390711678397,0.20187598415237873,0.1900100277903649,0.2118186249693898,0.2024732882770942,0.20046574230635827
earache,0.39152074195604836,0.381966,1.5806734307513222,0.4012508249174144,0.15941774197913094,0.21625457644879195,0.1548837125793109,0.1692144438755137,0.168944433332984,0.16779007477080782,0.15454622921033126,0.17699914733645875,0.16832033004132577,0.1661862568160369
leg pain,0.288355390193636,0.2546743969159749,1.6180339748439998,0.41675799251649137,0.15976221473391883,0.27594044888744657,0.11112925234219474,0.1547706571170008,0.1731170825792776,0.15674103645557538,0.11611008030770675,0.18721193032884637,0.15836196153850393,0.1510374045244981
runnynose,0.4313988517605072,0.4325317243960085,1.6621909181318486,0.5360980739018859,1.5706477025786891,1.9504827265183684,1.7922221532136442,1.7880774761865255,1.7825107893962175,1.7796555752053116,1.7745562341245542,1.7885230334296622,1.7820836590691136,1.7836328092379494
