symptoms,goviral,fluwatch,hongkong,hutterite,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,male,female,population
intercept,-2.176970069753807,-1.9698146622520019,-1.6728501519530354,-2.136611654535939,-2.0150653547096695,-2.0227792107805285,-2.0208170471044706,-2.0214995749191487,-2.017458363275807,-2.0151317690611137,-2.014539650177748,-2.0183064609424557
fever,1.0382126095227255,0.9767859728005663,1.9428652320207012,1.0869525856488464,1.3412005124987352,1.3387911485146131,1.3330342191205413,1.3168121650213527,1.3317244693246266,1.320641114917912,1.3232954321217096,1.3307407835527199
sorethroat,0.37471016465068924,0.3241904585997549,0.9908425517038009,0.3846045445617724,0.4692441112006719,0.4403269036417555,0.44715826048733665,0.4405911599978458,0.4651551714114155,0.467674843839401,0.4643896523598766,0.456466676775246
cough,1.0686350448708972,1.0586889467238454,1.6205332841841638,0.9737721170587583,1.2182554713143563,1.2204785562347436,1.221731250821875,1.2108753988112377,1.205112766679214,1.1989692495090196,1.2082418716328487,1.2114315568245027
muscle,-0.15882000949373737,-0.0931784365682321,0.19541299296212178,-0.15847059130350638,-0.05410894151586354,-0.06129590679992308,-0.06050846834063145,-0.06385146247401019,-0.059661013760685666,-0.06083380260622073,-0.06029678573136288,-0.06000104334510596
headache,0.06586364541498589,0.10974948386126637,0.39121174621524113,0.03783633620926796,0.12074973571076719,0.1066176114960074,0.11042718778722771,0.10747104592396439,0.11900679942575054,0.12210279971188459,0.11927735309964337,0.1150145399740296
fatigue,0.32050585503042767,0.36487425112207506,0.7333395790438016,0.2939968764744559,0.38610365912044076,0.36717288564040496,0.37123133814163,0.37276004084048675,0.38544816063292964,0.38518227025120444,0.3846030794824875,0.3783755902273733
vomit,-0.5687366670230314,-0.5223504275851931,-0.3625639806816102,-0.5770911791810016,-0.49041257471497435,-0.4896395913668256,-0.4897287737703564,-0.49260880101385385,-0.49286931167228776,-0.4998520748242301,-0.4971956069187878,-0.4924229346489881
nausea,0.09246287956346841,0.15716615843001455,0.37582486420559846,0.07985811361364135,0.15611732007716506,0.14543385162903721,0.15689071256075593,0.14439632780931472,0.1349041303518259,0.15406092126552312,0.15509517112262905,0.1493983624120162
diarrhea,-0.7454536951812144,-0.7788410262496835,-0.6652797952396358,-0.8346893224406179,-0.8849105819415086,-0.8822458032264273,-0.8285687959791233,-0.8525945952290019,-0.8720522772889335,-0.8626487251580774,-0.8819125264540537,-0.870322996798947
chills,0.5667458792112994,0.618034,1.0467236199214405,0.5290548908837724,0.6791738177863788,0.6725223532001703,0.658592507186182,0.663555203810059,0.6620861662659364,0.6684247547085744,0.6699165506528864,0.6680656457716463
sneeze,0.13060091579479977,0.13979490246584847,0.4640835717940644,0.09085235702790673,0.157551789614637,0.1645819088515017,0.16699428420628704,0.16923475442047853,0.15387077265990504,0.16080360319008047,0.15542768351621666,0.16207613546077876
shortness of breath,-0.09263434119816183,-0.06669222698105018,0.16523854653748996,-0.1171961367481504,-0.04070834853471061,-0.03885881334985608,-0.04811415529031138,-0.04459755986779701,-0.04817615828426276,-0.04089141964087162,-0.041148988236381356,-0.04293995138234874
phlegm,1.039542930805118,1.033085386256388,1.3591761327104341,0.9542888163556327,1.106325423914231,1.0949903797615308,1.0846181714853258,1.072430606162417,1.0799129998217147,1.0842390795372203,1.0905960805562016,1.0877710931406266
blockednose,0.2650086726359872,0.26010169892689716,0.5023773434730233,0.2383406990505128,0.2951371826009247,0.29431805428586844,0.2953598311608911,0.2763815892801623,0.2805920616602471,0.28909989754288595,0.2925023916999464,0.28839189048167874
earache,0.25087329666909514,0.24448119042365618,0.4919183589663936,0.21528890076525933,0.28016979262766795,0.27819929250469083,0.2793152457013753,0.25892968116081805,0.2684864550564378,0.27423399772098556,0.2770990713613409,0.27295562784703226
leg pain,0.30089856983788144,0.28831683495112653,0.5421991604836626,0.25846216592408255,0.29473645897630096,0.30255375066488494,0.30313011096150544,0.2977495919360282,0.3002075815353841,0.3043063679670541,0.30427443234340534,0.30395942589761993
runnynose,1.095381798374612,1.0834981114954139,1.3886672191941463,1.0704444907235406,1.1445203251980693,1.1305394026827453,1.1249342779480418,1.1208833414576196,1.1283070303203362,1.1195774590351288,1.127390909460574,1.1284277224452408
