symptoms,nyumc,goviral,fluwatch,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.4447179584979213,-0.13928531951159018,-0.18829083401425029,-0.4263407520542003,-2.4440273071070133,-1.1522146678743908,-2.315238313917357,-2.163559849882788,-2.094374252066371,-2.0508909413911125,-2.0893807138352507,-2.06749124561157,-2.1031363714731026,-2.019267304197181,-2.0856129302965387
fever,0.4360102401065722,0.20320242062311678,0.1314104157629343,0.3321843808826974,2.3207820923904854,1.2452267302021975,2.173554744966746,2.0570818692602004,2.0139710243648836,1.9814702432594786,2.0025552572234715,1.9825110497147485,2.0089056040882163,1.9598807261482794,2.0017083816024472
sorethroat,-0.11341768442678624,0.07683163555285466,0.06150306341272005,0.22078923850675486,-0.15518780934012788,-0.041269749246482246,-0.08372471156922356,-0.11087494169110912,-0.11324021802464179,-0.10720830768045965,-0.10895603635658596,-0.10814264302846821,-0.10978572308944412,-0.10587628304607344,-0.10921445642953315
cough,0.09367602839519762,0.08870051461004536,0.11558614681088908,0.2993822292301902,1.669279575539963,0.970570775787694,1.557369728681208,1.5194433233436557,1.4751578022163883,1.4511328804604045,1.4765061062286633,1.4551282868242161,1.4792253216204398,1.4333675276650286,1.4704758921773662
muscle,-0.135003325879094,0.04660865015975947,0.08378318456757235,0.06462981192243474,-0.29508697748618706,-0.12703997820790192,-0.24887465314154256,-0.2218345336325356,-0.20266567017133674,-0.20653980037708508,-0.20951885850304253,-0.20489612967939347,-0.2130463479397482,-0.20301734094366564,-0.20887557783509697
headache,-0.5243766185403733,-0.08200089478306691,-0.008212879345846011,0.07337813454327197,-0.38787507258435516,-0.19077578188145364,-0.2682923901976616,-0.29174504466346196,-0.2831847293243377,-0.2807462219510177,-0.2845810627912617,-0.2809205643843769,-0.28692157215430447,-0.27764772939125165,-0.2837720068624369
fatigue,-0.48234835534211706,0.27037322600938396,0.2979758970181707,0.06081228498853669,-0.2536375538922093,0.07695271839048434,-0.10706820750322275,-0.13051191041285665,-0.11320752178418403,-0.10667661612004053,-0.11462556098403015,-0.10715767180051411,-0.11682503688906165,-0.0986069136057739,-0.11271796131481142
vomit,-0.1361645121820642,0.09751558302533397,0.17619160358704605,0.09499845856045093,-0.7277085196816797,-0.34827297925937667,-0.69798370140673,-0.6068224130405755,-0.555609554449927,-0.5601264412271636,-0.5690501954308165,-0.5595806289172325,-0.576284792094482,-0.5468860549984593,-0.5683894896564287
nausea,-0.11310866264548992,-0.2434316489864719,-0.14510354760393435,0.09939007751645378,-0.16162010769519436,-0.13434056455638288,-0.08659479876872042,-0.1184321903462861,-0.12445327029811659,-0.12467296847919476,-0.12313611609376895,-0.1242883794159848,-0.1227245322847505,-0.12616248712557177,-0.12332936233231681
diarrhea,-0.4854980244653575,0.03500144310392184,0.1005593393178219,0.10397090963891055,-2.161531670869377,-1.3384512708342013,-2.1856864725069918,-2.0996942451178926,-2.028039624108945,-2.003701926657972,-2.03804434097669,-2.021651531720057,-2.0439276078641146,-1.959804717356975,-2.027158025396407
chills,-0.07477705316653349,0.16201902789149242,0.21964974310665303,0.12015539518496077,0.5805584640009392,0.49032252739061166,0.6604733581572524,0.5946377746406561,0.5662285748784048,0.5693586337782182,0.5745288029347742,0.5755763537221656,0.5769016761408199,0.5625868436588635,0.5740205269269766
sneeze,-0.07892806967798702,0.11333853393990166,0.15420624778192998,0.10641143557488543,-0.3533494001644527,-0.1618983211912167,-0.3681693579835911,-0.3444666560843748,-0.32679111097134755,-0.3220755931960743,-0.3297409118127428,-0.3253383635945862,-0.3305981452526742,-0.31083759270182326,-0.32691543510157306
shortness of breath,-0.08332169963046808,-0.1462662179840306,-0.10086021386201999,0.1112926029000851,-0.027687668620422764,-0.06962433462258255,0.0768804905447069,-0.001970163260340496,-0.0374505897061701,-0.03190174233741846,-0.027707006624524553,-0.02524700302925026,-0.026591841884805123,-0.03665522534313686,-0.02713993294053299
phlegm,-0.08797319393886507,0.05848691427403948,0.09181920892790228,0.2951300809340217,1.1193563448808237,0.7898058469778488,1.2801403186181561,1.1658895884272504,1.1087690697656485,1.0955720386170555,1.128770793893283,1.110887148810422,1.1175899749393288,1.084849368314105,1.1150767806896438
blockednose,-0.09290005237269344,0.1354273305612608,0.15308330768670064,0.10237240255790925,0.024773905562825122,0.06441103529290343,0.025042015728798273,0.029478106943304536,0.03411045385545792,0.03531517290685493,0.0323950892931964,0.034052660333771606,0.031276757255288,0.03636827907654738,0.0333522354717371
earache,-0.09812007267007133,0.06520919166130294,0.08921826810951089,0.15161591669296395,-0.01709421763641068,0.03347043152277405,0.018818097463685988,0.007099344600862415,0.007647019288355411,0.009053702265267995,0.007286312168254717,0.008501817932767775,0.006493804956234453,0.009706794270269038,0.007976294735513721
leg pain,-0.10365278696656251,-0.12642688869527974,-0.1177247606502201,0.15833202392028484,-0.10577393314123545,-0.10688795907986776,-0.02382684811385424,-0.09615055428134031,-0.11288035179335254,-0.1226421582690828,-0.11800543974845806,-0.10859584054488658,-0.11636459384407041,-0.12360894286404825,-0.11496217674777315
runnynose,-0.10951928938306395,0.2743716676093998,0.29174562716761554,0.34200977717869785,1.7166844470800826,1.289180353607708,1.7833060043310596,1.7081981741428747,1.6888029811208143,1.6814764120806416,1.6901061588551811,1.6848077138484252,1.6918397998392511,1.6733934211531225,1.6883825807673258
